Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
11,9,2,2,9/9 (100%),2,93/132 (70%),N.DJOKOVIC,25/39 (64%),59/121 (49%),49,150,42,70/93 (75%),21/39 (54%),54,53,202,183,136
1,2,0,9,2/4 (50%),2,75/121 (62%),L.MUSETTI,9/19 (47%),41/132 (31%),31,103,49,38/75 (51%),24/46 (52%),52,30,199,171,142
4,9,3,4,9/14 (64%),7,48/83 (58%),R.NADAL,12/13 (92%),45/76 (59%),59,99,30,39/48 (81%),15/35 (43%),43,31,200,182,154
0,4,5,9,4/7 (57%),4,50/76 (66%),J.SINNER,8/17 (47%),29/83 (35%),35,60,40,21/50 (42%),10/26 (38%),38,11,199,180,147
0,8,8,6,8/15 (53%),4,95/130 (73%),D.SCHWARTZMAN,12/17 (71%),64/135 (47%),47,138,35,57/95 (60%),17/35 (49%),49,34,182,161,140
13,6,7,8,6/14 (43%),5,72/135 (53%),JL.STRUFF,44/79 (56%),56/130 (43%),43,127,53,46/72 (64%),25/63 (40%),40,39,221,204,154
5,8,2,2,8/11 (73%),2,47/66 (71%),A.ZVEREV,12/18 (67%),50/88 (57%),57,95,26,32/47 (68%),13/19 (68%),68,25,221,208,164
0,2,3,8,2/4 (50%),0,53/88 (60%),K.NISHIKORI,8/20 (40%),21/66 (32%),32,59,36,21/53 (40%),17/35 (49%),49,16,182,168,136
2,7,7,5,7/16 (44%),3,74/113 (65%),A.DAVIDOVICH FOKINA,11/14 (79%),55/129 (43%),43,126,47,52/74 (70%),19/39 (49%),49,42,205,168,135
1,5,9,7,5/12 (42%),5,79/129 (61%),F.DELBONIS,21/40 (53%),42/113 (37%),37,116,42,51/79 (65%),23/50 (46%),46,28,200,179,154
6,5,5,1,5/12 (42%),0,63/95 (66%),S.TSITSIPAS,21/29 (72%),37/86 (43%),43,103,17,47/63 (75%),19/32 (59%),59,41,205,184,154
1,1,7,5,1/6 (17%),1,63/86 (73%),P.CARRENO BUSTA,17/24 (71%),29/95 (31%),31,78,32,39/63 (62%),10/23 (43%),43,29,199,171,136
0,1,5,6,1/2 (50%),3,59/92 (64%),C.GARIN,12/18 (67%),22/78 (28%),28,69,29,33/59 (56%),14/33 (42%),42,11,203,165,141
14,6,1,1,6/11 (55%),6,44/78 (56%),D.MEDVEDEV,7/12 (58%),45/92 (49%),49,101,32,38/44 (86%),18/34 (53%),53,46,206,192,146
